id,countryId,type,labelKo,labelLocal,labelEn,sensitivityLevel,aliases,sourceRefs,metadata
chn-term-tibet,china,SensitiveTerm,티베트,西藏,Tibet,high,"[""Tibet"", ""西藏"", ""티베트""]","[""china_tibet_xinjiang_hk_reuters""]","{""termType"": ""ethnic_religious_political_sensitivity"", ""unsafeContexts"": [""independence slogan"", ""flag""], ""safeContexts"": [""역사/문화 설명""]}"
chn-term-xinjiang,china,SensitiveTerm,신장·위구르,新疆 / 维吾尔,Xinjiang / Uyghur,high,"[""Xinjiang"", ""新疆"", ""Uyghur"", ""위구르"", ""신장""]","[""china_tibet_xinjiang_hk_reuters""]","{""termType"": ""ethnic_religious_political_sensitivity"", ""unsafeContexts"": [""stereotype"", ""joke"", ""forced labor""], ""safeContexts"": [""인권/지역 설명""]}"
chn-term-tiananmen,china,SensitiveTerm,천안문,天安门,Tiananmen,high,"[""Tiananmen"", ""天安门"", ""천안문""]","[""china_national_day""]","{""termType"": ""political_memory_site"", ""unsafeContexts"": [""rate square"", ""promo"", ""tank""], ""safeContexts"": [""역사/관광 안내""]}"
chn-term-june-fourth,china,SensitiveTerm,6·4,六四,June Fourth,high,"[""June Fourth"", ""六四"", ""6/4"", ""6·4""]","[""china_tibet_xinjiang_hk_reuters""]","{""termType"": ""political_memory_date"", ""unsafeContexts"": [""coupon code"", ""promo""], ""safeContexts"": [""역사 설명""]}"
chn-term-tank-man,china,SensitiveTerm,탱크맨,坦克人,Tank Man,high,"[""Tank Man"", ""탱크맨"", ""坦克人""]","[""china_tibet_xinjiang_hk_reuters""]","{""termType"": ""political_memory_symbol"", ""unsafeContexts"": [""card benefit"", ""loan tank""], ""safeContexts"": [""역사 설명""]}"
chn-term-spring-festival,china,SensitiveTerm,춘절,春节,Spring Festival,info,"[""春节"", ""Spring Festival"", ""Chinese New Year"", ""춘절""]","[""china_national_day""]","{""termType"": ""family_holiday"", ""unsafeContexts"": [""debt joke"", ""gambling""], ""safeContexts"": [""명절 혜택"", ""송금 안내""]}"
chn-term-red-envelope,china,SensitiveTerm,홍바오,红包,Red envelope,info,"[""红包"", ""red envelope"", ""홍바오""]","[""china_national_day""]","{""termType"": ""holiday_money_symbol"", ""unsafeContexts"": [""gambling"", ""debt trap""], ""safeContexts"": [""명절 송금/캐시백""]}"
tha-term-king,thailand,SensitiveTerm,국왕·왕실,พระมหากษัตริย์,King / Royal family,high,"[""King"", ""Royal"", ""국왕"", ""왕실"", ""พระมหากษัตริย์""]","[""thailand_lese_majeste_reuters""]","{""termType"": ""monarchy"", ""unsafeContexts"": [""loan king"", ""royal cashback"", ""joke"", ""cartoon""], ""safeContexts"": [""공식 존중"", ""공휴일 안내""]}"
tha-term-article112,thailand,SensitiveTerm,왕실모독법 112조,มาตรา 112,Article 112 / lèse-majesté,high,"[""Article 112"", ""มาตรา 112"", ""lese majeste"", ""왕실모독""]","[""thailand_lese_majeste_reuters""]","{""termType"": ""legal_political_sensitivity"", ""unsafeContexts"": [""promo code 112"", ""joke""], ""safeContexts"": [""법률 설명"", ""뉴스""]}"
tha-term-royal,thailand,SensitiveTerm,로열·왕실 표현,ราช,Royal,caution,"[""Royal"", ""ราช"", ""로열"", ""왕실""]","[""thailand_lese_majeste_guardian""]","{""termType"": ""monarchy_reference"", ""unsafeContexts"": [""discount name"", ""mascot""], ""safeContexts"": [""공식/고급 브랜드명 검토 필요""]}"
tha-term-buddha,thailand,SensitiveTerm,부처·불상,พระพุทธเจ้า,Buddha,high,"[""Buddha"", ""불상"", ""부처"", ""พระพุทธเจ้า""]","[""thailand_lese_majeste_guardian""]","{""termType"": ""religious_sacred"", ""unsafeContexts"": [""cashback mascot"", ""joke"", ""loan""], ""safeContexts"": [""문화/종교 설명""]}"
tha-term-monk,thailand,SensitiveTerm,승려,พระสงฆ์,Monk,high,"[""monk"", ""승려"", ""พระสงฆ์""]","[""thailand_lese_majeste_guardian""]","{""termType"": ""religious_person"", ""unsafeContexts"": [""card mascot"", ""discount""], ""safeContexts"": [""종교/문화 안내""]}"
tha-term-temple,thailand,SensitiveTerm,사원,วัด,Temple / Wat,caution,"[""wat"", ""temple"", ""사원"", ""วัด""]","[""thailand_lese_majeste_guardian""]","{""termType"": ""religious_place"", ""unsafeContexts"": [""promo set"", ""coupon""], ""safeContexts"": [""관광/문화 안내""]}"
tha-term-songkran,thailand,SensitiveTerm,송끄란,สงกรานต์,Songkran,info,"[""Songkran"", ""송끄란"", ""สงกรานต์""]","[""thailand_lese_majeste_guardian""]","{""termType"": ""new_year_holiday"", ""unsafeContexts"": [""drunk joke"", ""accident metaphor""], ""safeContexts"": [""명절 송금/카드 안내""]}"
tha-term-water,thailand,SensitiveTerm,물·물총,น้ำ,Water,info,"[""water"", ""water gun"", ""물총"", ""น้ำ""]","[""thailand_lese_majeste_guardian""]","{""termType"": ""holiday_water_symbol"", ""unsafeContexts"": [""drowning"", ""disaster""], ""safeContexts"": [""송끄란 프로모션""]}"
tha-term-coup,thailand,SensitiveTerm,쿠데타,รัฐประหาร,Coup,high,"[""coup"", ""รัฐประหาร"", ""쿠데타""]","[""three_finger_salute""]","{""termType"": ""military_coup"", ""unsafeContexts"": [""loan coup"", ""rate coup""], ""safeContexts"": [""뉴스/역사 설명""]}"
tha-term-three-finger,thailand,SensitiveTerm,세 손가락 경례,ชูสามนิ้ว,Three-finger salute,high,"[""three-finger salute"", ""ชูสามนิ้ว"", ""세 손가락""]","[""three_finger_salute""]","{""termType"": ""protest_symbol"", ""unsafeContexts"": [""card pose"", ""promo""], ""safeContexts"": [""정치 보도""]}"
tha-term-red-yellow,thailand,SensitiveTerm,레드셔츠·옐로셔츠,เสื้อแดง/เสื้อเหลือง,Red/Yellow political colors,caution,"[""red shirts"", ""yellow shirts"", ""레드셔츠"", ""옐로셔츠""]","[""three_finger_salute""]","{""termType"": ""political_color_identity"", ""unsafeContexts"": [""campaign targeting""], ""safeContexts"": [""정치 설명""]}"
khm-symbol-skull-memorial,cambodia,SensitiveSymbol,해골·유해 추모 상징,,Skull memorial,high,"[""skull"", ""bones"", ""유골"", ""해골""]","[""cambodia_genocide""]","{""symbolType"": ""genocide_memorial_visual"", ""unsafeContexts"": [""promo"", ""discount"", ""app_banner""], ""safeContexts"": [""역사교육"", ""박물관""]}"
khm-symbol-choeung-ek-stupa,cambodia,SensitiveSymbol,쯔엉아익 추모탑,,Choeung Ek memorial stupa,high,"[""Choeung Ek"", ""stupa"", ""memorial tower""]","[""cambodia_memorial_sites_reuters""]","{""symbolType"": ""genocide_memorial_visual"", ""unsafeContexts"": [""coupon"", ""financial_event""], ""safeContexts"": [""추모"", ""교육""]}"
khm-symbol-angkor-wat,cambodia,SensitiveSymbol,앙코르와트,អង្គរវត្ត,Angkor Wat,caution,"[""Angkor Wat"", ""앙코르와트"", ""អង្គរវត្ត""]","[""cambodia_national_symbols""]","{""symbolType"": ""national_heritage"", ""unsafeContexts"": [""deformation"", ""mockery"", ""cheap discount""], ""safeContexts"": [""관광 안내"", ""문화 존중""]}"
khm-symbol-flag,cambodia,SensitiveSymbol,캄보디아 국기,ទង់ជាតិ,Cambodian flag,caution,"[""Cambodia flag"", ""국기"", ""ទង់ជាតិ""]","[""cambodia_national_symbols""]","{""symbolType"": ""national_flag"", ""unsafeContexts"": [""distortion"", ""floor"", ""cashback gimmick""], ""safeContexts"": [""공식 축하""]}"
khm-symbol-pagoda,cambodia,SensitiveSymbol,불교 사원·파고다,វត្ត,Pagoda / Buddhist temple,caution,"[""pagoda"", ""temple"", ""wat"", ""사원"", ""វត្ត""]","[""cambodia_pchum_ben""]","{""symbolType"": ""religious_symbol"", ""unsafeContexts"": [""discount mascot"", ""meme""], ""safeContexts"": [""문화 안내"", ""종교 행사""]}"
khm-symbol-monk,cambodia,SensitiveSymbol,승려 이미지,ព្រះសង្ឃ,Buddhist monk,caution,"[""monk"", ""승려"", ""스님"", ""ព្រះសង្ឃ""]","[""cambodia_pchum_ben""]","{""symbolType"": ""religious_symbol"", ""unsafeContexts"": [""cashback character"", ""joke""], ""safeContexts"": [""종교 안내""]}"
vnm-symbol-tank390,vietnam,SensitiveSymbol,390 전차·통일 상징,Xe tăng 390,Tank 390,caution,"[""Tank 390"", ""xe tăng 390"", ""전차""]","[""vietnam_reunification_day""]","{""symbolType"": ""war_victory_symbol"", ""unsafeContexts"": [""card event"", ""discount mascot""], ""safeContexts"": [""역사기념""]}"
vnm-symbol-flag,vietnam,SensitiveSymbol,베트남 국기,cờ đỏ sao vàng,Vietnam flag,caution,"[""Vietnam flag"", ""red flag yellow star"", ""베트남 국기""]","[""vietnam_national_day""]","{""symbolType"": ""national_flag"", ""unsafeContexts"": [""distortion"", ""floor design"", ""cashback gimmick""], ""safeContexts"": [""공식 축하""]}"
vnm-symbol-star-flag,vietnam,SensitiveSymbol,황성·붉은 깃발,cờ đỏ sao vàng,Yellow star flag,caution,"[""yellow star"", ""red flag"", ""cờ đỏ sao vàng""]","[""vietnam_national_day""]","{""symbolType"": ""national_symbol"", ""unsafeContexts"": [""mockery"", ""cheap sale""], ""safeContexts"": [""공식 기념""]}"
vnm-symbol-ba-dinh,vietnam,SensitiveSymbol,바딘 광장,Quảng trường Ba Đình,Ba Dinh Square,caution,"[""Ba Dinh"", ""바딘""]","[""vietnam_national_day""]","{""symbolType"": ""national_site"", ""unsafeContexts"": [""discount event""], ""safeContexts"": [""역사 설명""]}"
vnm-symbol-orange-ribbon,vietnam,SensitiveSymbol,주황색·고엽제 연상,màu da cam,Orange / Agent Orange visual,high,"[""orange ribbon"", ""orange smoke"", ""주황색 고엽제""]","[""vietnam_agent_orange""]","{""symbolType"": ""war_victim_visual"", ""unsafeContexts"": [""cashback theme"", ""orange discount""], ""safeContexts"": [""피해자 지원""]}"
vnm-symbol-war-helicopter,vietnam,SensitiveSymbol,전쟁 헬기·폭격 이미지,,War helicopter / bombing,high,"[""helicopter"", ""bombing"", ""napalm fire""]","[""vietnam_agent_orange""]","{""symbolType"": ""war_harm_visual"", ""unsafeContexts"": [""loan bomb"", ""discount attack""], ""safeContexts"": [""역사교육""]}"
vnm-symbol-apricot-blossom,vietnam,SensitiveSymbol,뗏 꽃 장식,hoa mai,Apricot blossom,info,"[""hoa mai"", ""apricot blossom"", ""yellow blossom""]","[""vietnam_public_holidays""]","{""symbolType"": ""holiday_symbol"", ""unsafeContexts"": [""funeral parody""], ""safeContexts"": [""명절 축하""]}"
vnm-symbol-red-envelope,vietnam,SensitiveSymbol,빨간 봉투,bao lì xì,Red envelope,info,"[""red envelope"", ""lì xì"", ""세뱃돈 봉투""]","[""vietnam_public_holidays""]","{""symbolType"": ""holiday_money_symbol"", ""unsafeContexts"": [""gambling""], ""safeContexts"": [""명절 혜택""]}"
vnm-symbol-temple,vietnam,SensitiveSymbol,사원·조상 숭배 장소,đền,Temple,caution,"[""temple"", ""đền"", ""사원""]","[""vietnam_public_holidays""]","{""symbolType"": ""ancestral_religious_symbol"", ""unsafeContexts"": [""coupon mascot""], ""safeContexts"": [""공식 기념""]}"
mmr-symbol-three-finger-salute,myanmar,SensitiveSymbol,세 손가락 경례,,Three-finger salute,high,"[""three-finger salute"", ""세 손가락"", ""3 finger salute""]","[""myanmar_coup_reuters"", ""three_finger_salute""]","{""symbolType"": ""pro_democracy_symbol"", ""unsafeContexts"": [""promo pose"", ""card design"", ""discount""], ""safeContexts"": [""정치 기사"", ""인권 캠페인""]}"
mmr-symbol-red-ribbon,myanmar,SensitiveSymbol,빨간 리본,,Red ribbon,high,"[""red ribbon"", ""빨간 리본""]","[""myanmar_coup_reuters""]","{""symbolType"": ""cdm_symbol"", ""unsafeContexts"": [""cashback ribbon""], ""safeContexts"": [""인권 캠페인""]}"
mmr-symbol-pot-banging,myanmar,SensitiveSymbol,냄비 두드리기,,Pot-banging protest,caution,"[""pot banging"", ""pots and pans"", ""냄비""]","[""myanmar_coup_reuters""]","{""symbolType"": ""protest_symbol"", ""unsafeContexts"": [""promo noise"", ""discount""], ""safeContexts"": [""정치 설명""]}"
mmr-symbol-burning-village,myanmar,SensitiveSymbol,불탄 마을,,Burning village,high,"[""burning village"", ""fire"", ""불탄 마을""]","[""myanmar_rohingya""]","{""symbolType"": ""conflict_visual"", ""unsafeContexts"": [""cashback fire"", ""loan fire""], ""safeContexts"": [""인권 리포트""]}"
mmr-symbol-refugee-camp,myanmar,SensitiveSymbol,난민 캠프,,Refugee camp,high,"[""refugee camp"", ""난민 캠프""]","[""myanmar_rohingya""]","{""symbolType"": ""humanitarian_visual"", ""unsafeContexts"": [""promo"", ""joke""], ""safeContexts"": [""지원 안내""]}"
mmr-symbol-peacock,myanmar,SensitiveSymbol,공작 상징,,Fighting peacock,caution,"[""peacock"", ""공작""]","[""myanmar_coup_overview""]","{""symbolType"": ""democracy_symbol"", ""unsafeContexts"": [""cashback mascot""], ""safeContexts"": [""문화/정치 설명""]}"
mmr-symbol-water-splash,myanmar,SensitiveSymbol,물 뿌림,,Water splash,info,"[""water splash"", ""물뿌리기""]","[""myanmar_coup_overview""]","{""symbolType"": ""holiday_symbol"", ""unsafeContexts"": [""disaster drowning metaphor""], ""safeContexts"": [""명절 축하""]}"
mmr-symbol-pagoda,myanmar,SensitiveSymbol,파고다,ဘုရား,Pagoda,caution,"[""pagoda"", ""파고다"", ""Shwedagon""]","[""myanmar_coup_overview""]","{""symbolType"": ""religious_symbol"", ""unsafeContexts"": [""discount""], ""safeContexts"": [""문화 안내""]}"
mmr-symbol-shwedagon,myanmar,SensitiveSymbol,쉐다곤 파고다,ရွှေတိဂုံ,Shwedagon Pagoda,caution,"[""Shwedagon"", ""쉐다곤""]","[""myanmar_coup_overview""]","{""symbolType"": ""religious_national_symbol"", ""unsafeContexts"": [""card design gimmick""], ""safeContexts"": [""문화 안내""]}"
mmr-symbol-monk,myanmar,SensitiveSymbol,승려 이미지,ဘုန်းကြီး,Monk image,caution,"[""monk image"", ""승려""]","[""myanmar_coup_overview""]","{""symbolType"": ""religious_symbol"", ""unsafeContexts"": [""promo mascot""], ""safeContexts"": [""종교 안내""]}"
chn-symbol-prc-flag,china,SensitiveSymbol,중국 국기,五星红旗,PRC flag,high,"[""Chinese flag"", ""五星红旗"", ""오성홍기""]","[""china_national_day""]","{""symbolType"": ""national_flag"", ""unsafeContexts"": [""distortion"", ""floor"", ""wrong map""], ""safeContexts"": [""공식 축하""]}"
chn-symbol-tiananmen,china,SensitiveSymbol,천안문 이미지,天安门,Tiananmen visual,high,"[""Tiananmen image"", ""천안문""]","[""china_national_day""]","{""symbolType"": ""national_and_political_site"", ""unsafeContexts"": [""promo joke"", ""tank visual""], ""safeContexts"": [""관광/역사 안내""]}"
chn-symbol-taiwan-flag,china,SensitiveSymbol,대만 국기,青天白日满地红,Taiwan flag,high,"[""Taiwan flag"", ""ROC flag"", ""대만 국기""]","[""china_taiwan_flag_reuters""]","{""symbolType"": ""sovereignty_sensitive_flag"", ""unsafeContexts"": [""used_as_country_flag_in_prc_campaign"", ""wrong protocol""], ""safeContexts"": [""대만 고객 프로토콜에서 검토""]}"
chn-symbol-map,china,SensitiveSymbol,중국 지도,中国地图,China map,high,"[""China map"", ""지도"", ""map""]","[""china_taiwan_flag_reuters"", ""china_tibet_xinjiang_hk_reuters""]","{""symbolType"": ""sovereignty_sensitive_map"", ""unsafeContexts"": [""missing Taiwan"", ""mislabel Hong Kong"", ""separate Tibet/Xinjiang""], ""safeContexts"": [""검토된 공식 지도""]}"
chn-symbol-hk-protest,china,SensitiveSymbol,홍콩 시위 상징,,Hong Kong protest symbols,high,"[""umbrella"", ""black bauhinia"", ""protest flag""]","[""china_tibet_xinjiang_hk_reuters""]","{""symbolType"": ""political_protest_symbol"", ""unsafeContexts"": [""promo"", ""discount""], ""safeContexts"": [""뉴스/역사 설명""]}"
chn-symbol-uyghur,china,SensitiveSymbol,위구르 상징,,Uyghur symbol,high,"[""Uyghur flag"", ""East Turkestan flag""]","[""china_tibet_xinjiang_hk_reuters""]","{""symbolType"": ""ethnic_political_symbol"", ""unsafeContexts"": [""promo"", ""stereotype""], ""safeContexts"": [""인권/문화 설명""]}"
chn-symbol-tibetan-flag,china,SensitiveSymbol,티베트 국기·상징,,Tibetan flag,high,"[""Tibetan flag"", ""snow lion flag""]","[""china_tibet_xinjiang_hk_reuters""]","{""symbolType"": ""political_religious_symbol"", ""unsafeContexts"": [""card design"", ""promo""], ""safeContexts"": [""문화/역사 설명""]}"
chn-symbol-tank-man,china,SensitiveSymbol,탱크맨 이미지,,Tank Man image,high,"[""tank man"", ""man before tank""]","[""china_tibet_xinjiang_hk_reuters""]","{""symbolType"": ""political_memory_visual"", ""unsafeContexts"": [""loan tank"", ""card visual""], ""safeContexts"": [""역사 설명""]}"
chn-symbol-red-envelope,china,SensitiveSymbol,홍바오 봉투,红包,Red envelope,info,"[""red envelope"", ""红包"", ""홍바오""]","[""china_national_day""]","{""symbolType"": ""holiday_money_symbol"", ""unsafeContexts"": [""gambling""], ""safeContexts"": [""명절 송금/캐시백""]}"
chn-symbol-dragon,china,SensitiveSymbol,용,龙,Dragon,info,"[""dragon"", ""용"", ""龙""]","[""china_national_day""]","{""symbolType"": ""cultural_symbol"", ""unsafeContexts"": [""insulting distortion""], ""safeContexts"": [""명절 축하""]}"
tha-symbol-royal-portrait,thailand,SensitiveSymbol,왕실 초상,พระบรมฉายาลักษณ์,Royal portrait,high,"[""royal portrait"", ""king portrait"", ""왕실 초상""]","[""thailand_lese_majeste_reuters""]","{""symbolType"": ""monarchy_visual"", ""unsafeContexts"": [""ad parody"", ""cashback design"", ""app icon""], ""safeContexts"": [""공식 존중""]}"
tha-symbol-yellow-royal,thailand,SensitiveSymbol,왕실 노란색 상징,สีเหลือง,Royal yellow,caution,"[""yellow royal color"", ""왕실 노란색"", ""สีเหลือง""]","[""thailand_lese_majeste_guardian""]","{""symbolType"": ""monarchy_color_symbol"", ""unsafeContexts"": [""political attack"", ""royal discount""], ""safeContexts"": [""공식 행사""]}"
tha-symbol-thai-baht,thailand,SensitiveSymbol,태국 바트화·국왕 초상 지폐,เงินบาท,Thai baht banknote,high,"[""Thai baht"", ""banknote"", ""지폐"", ""เงินบาท""]","[""thailand_lese_majeste_reuters""]","{""symbolType"": ""currency_royal_image"", ""unsafeContexts"": [""distortion"", ""floor"", ""cutout"", ""meme""], ""safeContexts"": [""환전 안내""]}"
tha-symbol-buddha-head,thailand,SensitiveSymbol,불두·불상 머리,พระเศียรพระพุทธรูป,Buddha head,high,"[""Buddha head"", ""불두"", ""Buddha image""]","[""thailand_lese_majeste_guardian""]","{""symbolType"": ""religious_sacred_visual"", ""unsafeContexts"": [""logo"", ""coupon"", ""mascot""], ""safeContexts"": [""문화/종교 안내""]}"
tha-symbol-temple,thailand,SensitiveSymbol,태국 사원,วัด,Thai temple,caution,"[""wat"", ""temple"", ""사원""]","[""thailand_lese_majeste_guardian""]","{""symbolType"": ""religious_place_visual"", ""unsafeContexts"": [""discount background""], ""safeContexts"": [""관광/문화 안내""]}"
tha-symbol-monk,thailand,SensitiveSymbol,승려 이미지,พระสงฆ์,Monk image,high,"[""monk image"", ""승려""]","[""thailand_lese_majeste_guardian""]","{""symbolType"": ""religious_person_visual"", ""unsafeContexts"": [""cashback mascot"", ""joke""], ""safeContexts"": [""종교/문화 안내""]}"
tha-symbol-water-splash,thailand,SensitiveSymbol,물 축제 이미지,สาดน้ำ,Water splash,info,"[""water splash"", ""water gun"", ""물축제""]","[""thailand_lese_majeste_guardian""]","{""symbolType"": ""holiday_symbol"", ""unsafeContexts"": [""drowning joke""], ""safeContexts"": [""송끄란 프로모션""]}"
tha-symbol-floral-shirt,thailand,SensitiveSymbol,송끄란 꽃무늬 셔츠,เสื้อลายดอก,Songkran floral shirt,info,"[""floral shirt"", ""꽃무늬 셔츠""]","[""thailand_lese_majeste_guardian""]","{""symbolType"": ""holiday_symbol"", ""unsafeContexts"": [""political color confusion""], ""safeContexts"": [""명절 프로모션""]}"
tha-symbol-three-finger-salute,thailand,SensitiveSymbol,세 손가락 경례,ชูสามนิ้ว,Three-finger salute,high,"[""three finger salute"", ""세 손가락 경례""]","[""three_finger_salute""]","{""symbolType"": ""protest_visual"", ""unsafeContexts"": [""card benefit pose"", ""youth promo""], ""safeContexts"": [""정치 보도""]}"
tha-symbol-red-yellow-shirts,thailand,SensitiveSymbol,정치색 셔츠,เสื้อแดง/เสื้อเหลือง,Red/yellow shirts,caution,"[""red shirt"", ""yellow shirt"", ""red/yellow""]","[""three_finger_salute""]","{""symbolType"": ""political_color_visual"", ""unsafeContexts"": [""targeted campaign""], ""safeContexts"": [""정치 설명""]}"
fin-interest-rate,shared,FinancialPromoTerm,금리,,interest rate,,"[""금리"", ""이자율"", ""우대금리"", ""최저금리"", ""최고금리"", ""rate"", ""interest rate"", ""lãi suất"", ""អត្រាការប្រាក់"", ""အတိုးနှုန်း"", ""利率"", ""ดอกเบี้ย""]",[],"{""category"": ""financial_benefit"", ""productTypes"": [""loan"", ""deposit"", ""savings""]}"
fin-loan,shared,FinancialPromoTerm,대출,,loan,,"[""대출"", ""신용대출"", ""loan"", ""vay"", ""khoản vay"", ""ប្រាក់កម្ចី"", ""ချေးငွေ"", ""贷款"", ""สินเชื่อ""]",[],"{""category"": ""financial_product"", ""productTypes"": [""loan""]}"
fin-deposit,shared,FinancialPromoTerm,예금/적금,,deposit/savings,,"[""예금"", ""적금"", ""savings"", ""deposit"", ""tiết kiệm"", ""ប្រាក់បញ្ញើ"", ""အပ်ငွေ"", ""存款"", ""เงินฝาก""]",[],"{""category"": ""financial_product"", ""productTypes"": [""deposit"", ""savings""]}"
fin-return,shared,FinancialPromoTerm,수익률,,return/yield,,"[""수익률"", ""수익"", ""yield"", ""return"", ""lợi nhuận"", ""អត្រាចំណេញ"", ""အမြတ်နှုန်း"", ""收益率"", ""ผลตอบแทน""]",[],"{""category"": ""financial_performance"", ""productTypes"": [""investment"", ""fund""]}"
fin-fee,shared,FinancialPromoTerm,수수료,,fee,,"[""수수료"", ""fee"", ""commission"", ""phí"", ""សេវា"", ""အခကြေးငွေ"", ""手续费"", ""ค่าธรรมเนียม""]",[],"{""category"": ""financial_cost"", ""productTypes"": [""card"", ""loan"", ""deposit"", ""remittance""]}"
fin-cashback,shared,FinancialPromoTerm,캐시백,,cashback,,"[""캐시백"", ""cashback"", ""hoàn tiền"", ""បង្វិលសាច់ប្រាក់"", ""ငွေပြန်"", ""返现"", ""เงินคืน""]",[],"{""category"": ""financial_benefit"", ""productTypes"": [""card"", ""payment""]}"
fin-remittance,shared,FinancialPromoTerm,해외송금,,remittance,,"[""해외송금"", ""송금"", ""remittance"", ""transfer"", ""chuyển tiền"", ""ផ្ទេរប្រាក់"", ""ငွေလွှဲ"", ""汇款"", ""โอนเงิน""]",[],"{""category"": ""financial_service"", ""productTypes"": [""remittance""]}"
promo-discount,shared,FinancialPromoTerm,할인/특가,,discount/promotion,,"[""할인"", ""특가"", ""혜택"", ""이벤트"", ""쿠폰"", ""오늘만"", ""한정"", ""discount"", ""promo"", ""deal"", ""ưu đãi"", ""khuyến mãi"", ""បញ្ចុះតម្លៃ"", ""โปรโมชั่น"", ""ส่วนลด"", ""优惠""]",[],"{""category"": ""commercial_promotion"", ""productTypes"": [""all""]}"
